date,open(ĸ),high(ĸ),low(ĸ),close(ĸ),amount(ĸ),vol(ĸ),open(A),high(A),low(A),close(A),amount(A),vol(A),open(B),high(B),low(B),close(B),amount(B),vol(B)
[20150701],[ 8.39000034],[ 8.39000034],[ 7.86000013],[ 8.01000023],[ 2363381.],[2856920],[ 8.15999985],[ 8.22999954],[ 8.07999992],[ 8.15999985],[ 2149822.],[2638350],[ 8.30000019],[ 8.72999954],[ 7.80000019],[ 7.94999981],[ 6822766.],[8182750]
[20150702],[ 8.06000042],[ 8.32999992],[ 7.80999994],[ 7.92999983],[ 2482479.],[3085495],[ 8.10999966],[ 8.14000034],[ 8.02000046],[ 8.03999996],[ 2865890.],[3556500],[ 8.05000019],[ 8.30000019],[ 7.69999981],[ 7.86000013],[ 5055109.],[6293700]
[20150703],[ 8.],[ 8.27000046],[ 7.69000006],[ 7.96000004],[ 1607511.],[2020000],[ 8.01000023],[ 8.11999989],[ 7.80000019],[ 8.07999992],[ 2961534.],[3698050],[ 8.07999992],[ 8.30000019],[ 7.19999981],[ 7.61999989],[ 8121944.],[10298000]
[20150706],[ 8.69999981],[ 8.69999981],[ 8.03999996],[ 8.31000042],[ 6402924.],[7675683],[ 8.05000019],[ 8.31999969],[ 7.98999977],[ 8.22999954],[ 10386891.],[12796575],[ 8.38000011],[ 8.38000011],[ 8.18000031],[ 8.38000011],[ 14336503.],[17237073]
[20150707],[ 8.47000027],[ 9.14000034],[ 8.],[ 8.82999992],[ 3993191.],[4586057],[ 8.22999954],[ 8.48999977],[ 8.19999981],[ 8.44999981],[ 11190806.],[13339375],[ 8.5],[ 9.22000027],[ 8.34000015],[ 9.22000027],[ 12741666.],[14338951]
[20150708],[ 8.89999962],[ 8.89999962],[ 7.94999981],[ 7.94999981],[ 2122996.],[2582064],[ 8.28999996],[ 8.28999996],[ 7.6500001],[ 7.98000002],[ 8891650.],[11167450],[ 8.44999981],[ 9.22000027],[ 8.30000019],[ 8.30000019],[ 11257937.],[13093542]
[20150709],[ 7.32000017],[ 8.69999981],[ 7.23000002],[ 8.55000019],[ 5325084.],[6449494],[ 8.10000038],[ 8.39999962],[ 7.98999977],[ 8.30000019],[ 10919449.],[13375900],[ 7.46999979],[ 9.10000038],[ 7.46999979],[ 8.72999954],[ 14057290.],[16819429]
[20150710],[ 8.55000019],[ 9.],[ 8.10000038],[ 8.5],[ 6085260.],[7028542],[ 8.22999954],[ 8.43000031],[ 8.14999962],[ 8.38000011],[ 13286711.],[15898674],[ 8.69999981],[ 9.38000011],[ 7.9000001],[ 8.60000038],[ 15233470.],[17171237]
[20150713],[ 8.14999962],[ 8.47999954],[ 8.14999962],[ 8.36999989],[ 4799441.],[5768456],[ 8.36999989],[ 8.5],[ 8.32999992],[ 8.43999958],[ 10334846.],[12284574],[ 8.10000038],[ 8.56000042],[ 7.90999985],[ 8.27999973],[ 11722237.],[14309011]
[20150714],[ 8.31000042],[ 8.31000042],[ 8.],[ 8.07999992],[ 2267836.],[2803076],[ 8.40999985],[ 8.69999981],[ 8.35999966],[ 8.64999962],[ 5042022.],[5931662],[ 7.96999979],[ 8.],[ 7.44999981],[ 7.48999977],[ 7208781.],[9381574]
[20150715],[ 7.98999977],[ 8.],[ 7.65999985],[ 7.98999977],[ 4793869.],[6083973],[ 8.65999985],[ 8.89000034],[ 8.51000023],[ 8.86999989],[ 7966577.],[9048343],[ 7.38000011],[ 7.38000011],[ 6.73999977],[ 7.05999994],[ 7033443.],[10135209]
[20150716],[ 7.86999989],[ 8.02000046],[ 7.69999981],[ 7.98000002],[ 4213653.],[5335841],[ 8.85999966],[ 8.96000004],[ 8.61999989],[ 8.89000034],[ 4514515.],[5110707],[ 6.88000011],[ 7.19000006],[ 6.48999977],[ 7.],[ 4804425.],[7027900]
[20150717],[ 7.98000002],[ 8.27999973],[ 7.86000013],[ 8.17000008],[ 3769909.],[4644600],[ 8.86999989],[ 8.98999977],[ 8.84000015],[ 8.84000015],[ 5980597.],[6676007],[ 6.98999977],[ 7.48999977],[ 6.80000019],[ 7.4000001],[ 3745162.],[5189578]
